0.19,16.45,7.6,0.91,4,128,2,0,5.45e+06,5.45e+06,5.45e+06,5.45e+06,5.45e+06,5.45e+06,5.45e+06,4.99e+06,3
0.17,15.67,7.4,0.8,4,64,2,0,5.89e+06,5.89e+06,5.89e+06,5.89e+06,5.69e+06,5.59e+06,5.39e+06,4.99e+06,3
0.14,17.3,7.76,1.05,2,16,1,0,6.49e+06,6.3e+06,6.12e+06,5.89e+06,5.67e+06,5.45e+06,5.2e+06,4.99e+06,3
0.19,16.44,7.57,0.84,6,128,2,0,4.84e+06,4.84e+06,4.84e+06,4.84e+06,4.84e+06,4.84e+06,4.84e+06,4.84e+06,3
0.18,16.05,7.45,0.83,8,128,2,0,4.93e+06,4.93e+06,4.93e+06,4.93e+06,4.93e+06,4.93e+06,4.93e+06,4.65e+06,3
0.16,15.6,7.53,0.78,4,64,2,0,5.59e+06,5.59e+06,5.59e+06,5.59e+06,5.3e+06,5.1e+06,4.89e+06,4.59e+06,3
0.17,16.48,7.59,0.85,3,32,2,0,5.24e+06,5.24e+06,5.24e+06,5.24e+06,5.09e+06,4.89e+06,4.68e+06,4.5e+06,3
0.17,15.3,7.7,0.74,2,16,2,0,4.49e+06,4.49e+06,4.49e+06,4.49e+06,4.49e+06,4.49e+06,4.39e+06,4.29e+06,3
0.2,16.42,7.59,0.91,4,64,2,0,4.69e+06,4.69e+06,4.69e+06,4.69e+06,4.69e+06,4.69e+06,4.69e+06,4.19e+06,3
0.14,15.18,7.43,0.66,4,64,2,0,4.79e+06,4.79e+06,4.69e+06,4.59e+06,4.49e+06,4.39e+06,4.29e+06,4.19e+06,3
0.19,16.44,7.57,0.84,4,64,2,0,3.99e+06,3.99e+06,3.99e+06,3.99e+06,3.99e+06,3.99e+06,3.99e+06,3.99e+06,3
0.15,17.26,7.56,1.05,6,64,2,0,4.61e+06,4.61e+06,4.61e+06,4.61e+06,4.48e+06,4.35e+06,4.19e+06,3.99e+06,3
0.16,16.23,7.35,0.78,8,128,2,0,5.4e+06,5.4e+06,5.4e+06,5.14e+06,4.85e+06,4.57e+06,4.27e+06,3.99e+06,3
0.19,16.45,7.6,0.91,4,128,2,0,4.59e+06,4.59e+06,4.59e+06,4.59e+06,4.59e+06,4.59e+06,4.59e+06,3.79e+06,3
0.19,16.45,7.6,0.91,4,128,2,0,4.35e+06,4.35e+06,4.35e+06,4.35e+06,4.35e+06,4.35e+06,4.35e+06,3.79e+06,3
0.19,16.44,7.57,0.84,4,64,2,0,3.79e+06,3.79e+06,3.79e+06,3.79e+06,3.79e+06,3.79e+06,3.79e+06,3.79e+06,3
0.18,16.9,7.6,0.8,4,128,2,0,3.69e+06,3.69e+06,3.69e+06,3.69e+06,3.69e+06,3.69e+06,3.69e+06,3.69e+06,3
0.17,15.62,7.56,0.82,3,32,2,0,4.19e+06,4.19e+06,4.19e+06,4.19e+06,3.99e+06,3.89e+06,3.79e+06,3.69e+06,3
0.19,16.36,7.57,0.84,4,64,2,0,3.94e+06,3.94e+06,3.94e+06,3.94e+06,3.94e+06,3.94e+06,3.94e+06,3.69e+06,3
0.19,15.8,7.34,0.84,8,256,2,0,4.26e+06,4.26e+06,4.26e+06,4.26e+06,4.26e+06,4.05e+06,3.82e+06,3.6e+06,3
0.2,17.1,7.8,1.04,2,16,2,0,4.55e+06,4.42e+06,4.25e+06,4.19e+06,4.1e+06,3.95e+06,3.77e+06,3.59e+06,3
0.19,16.44,7.6,0.86,4,128,2,0,4.55e+06,4.55e+06,4.55e+06,4.55e+06,4.55e+06,4.55e+06,3.95e+06,3.55e+06,3
0.2,16.4,7.58,0.89,4,128,2,0,3.75e+06,3.75e+06,3.75e+06,3.75e+06,3.75e+06,3.75e+06,3.75e+06,3.45e+06,3
0.18,16.9,7.6,0.8,4,128,2,0,3.4e+06,3.4e+06,3.4e+06,3.4e+06,3.4e+06,3.4e+06,3.4e+06,3.4e+06,3
0.18,16.9,7.6,0.8,4,128,2,0,3.39e+06,3.39e+06,3.39e+06,3.39e+06,3.39e+06,3.39e+06,3.39e+06,3.39e+06,3
0.19,16.2,7.61,0.83,6,64,2,0,4e+06,4e+06,4e+06,4e+06,4e+06,3.79e+06,3.59e+06,3.3e+06,3
